Domain,Subdomain,Time_period,ESP,log10_ESP,PCS_level,PCS_score,PCS_method,PCS_notes,ESP_normalized,log10_ESP_normalized,Quality_score,Source
Medicine,NNT (TheNNT),2014,100.0,2.0,2,2.0,rubric,Single qualitative therapeutic response (binary clinical endpoint).,50.0,1.6989700043360187,3,https://thennt.com/nnt/anti-hypertensives-to-prevent-death-heart-attacks-and-strokes/
Medicine,NNT (TheNNT),2014,10.0,1.0,2,2.0,rubric,Single qualitative therapeutic response (binary clinical endpoint).,5.0,0.6989700043360189,3,https://thennt.com/nnt/anti-hypertensives-to-prevent-death-heart-attacks-and-strokes/
Medicine,NNT (TheNNT),2015,1667.0,3.2219355998280053,2,2.0,rubric,Single qualitative therapeutic response (binary clinical endpoint).,833.5,2.920905604164024,3,https://thennt.com/nnt/aspirin-to-prevent-a-first-heart-attack-or-stroke-2/
Medicine,NNT (TheNNT),2015,2000.0,3.3010299956639813,2,2.0,rubric,Single qualitative therapeutic response (binary clinical endpoint).,1000.0,3.0,3,https://thennt.com/nnt/aspirin-to-prevent-a-first-heart-attack-or-stroke-2/
Medicine,NNT (TheNNT),2015,3000.0,3.4771212547196626,2,2.0,rubric,Single qualitative therapeutic response (binary clinical endpoint).,1500.0,3.1760912590556813,3,https://thennt.com/nnt/aspirin-to-prevent-a-first-heart-attack-or-stroke-2/
Medicine,NNT (TheNNT),2015,3333.0,3.52283531366053,2,2.0,rubric,Single qualitative therapeutic response (binary clinical endpoint).,1666.5,3.221805317996549,3,https://thennt.com/nnt/aspirin-to-prevent-a-first-heart-attack-or-stroke-2/
Medicine,NNT (TheNNT),2013,60.0,1.7781512503836436,2,2.0,rubric,Single qualitative therapeutic response (binary clinical endpoint).,30.0,1.4771212547196624,3,https://thennt.com/nnt/warfarin-vs-aspirin-for-atrial-fibrillation-stroke-prevention/
Medicine,NNT (TheNNT),2013,360.0,2.5563025007672873,2,2.0,rubric,Single qualitative therapeutic response (binary clinical endpoint).,180.0,2.255272505103306,3,https://thennt.com/nnt/warfarin-vs-aspirin-for-atrial-fibrillation-stroke-prevention/
Medicine,NNT (TheNNT),2013,167.0,2.2227164711475833,2,2.0,rubric,Single qualitative therapeutic response (binary clinical endpoint).,83.5,1.921686475483602,3,https://thennt.com/nnt/warfarin-vs-aspirin-for-atrial-fibrillation-stroke-prevention/
Medicine,NNT (TheNNT),2013,25.0,1.3979400086720377,2,2.0,rubric,Single qualitative therapeutic response (binary clinical endpoint).,12.5,1.0969100130080565,3,https://thennt.com/nnt/warfarin-vs-aspirin-for-atrial-fibrillation-stroke-prevention/
Medicine,NNT (TheNNT),2024,5.0,0.6989700043360189,2,2.0,rubric,Single qualitative therapeutic response (binary clinical endpoint).,2.5,0.3979400086720376,3,https://thennt.com/nnt/paxlovid-for-nonhospitalized-patients-with-covid-19/
Medicine,NNT (TheNNT),2024,25.0,1.3979400086720377,2,2.0,rubric,Single qualitative therapeutic response (binary clinical endpoint).,12.5,1.0969100130080565,3,https://thennt.com/nnt/paxlovid-for-nonhospitalized-patients-with-covid-19/
Medicine,NNT (TheNNT),2025,18.0,1.255272505103306,2,2.0,rubric,Single qualitative therapeutic response (binary clinical endpoint).,9.0,0.9542425094393249,3,https://thennt.com/nnt/corticosteroids-for-community-acquired-bacterial-pneumonia/
Medicine,NNT (TheNNT),2025,28.0,1.4471580313422192,2,2.0,rubric,Single qualitative therapeutic response (binary clinical endpoint).,14.0,1.146128035678238,3,https://thennt.com/nnt/corticosteroids-for-community-acquired-bacterial-pneumonia/
Medicine,NNT (TheNNT),2025,56.0,1.7481880270062005,2,2.0,rubric,Single qualitative therapeutic response (binary clinical endpoint).,28.0,1.4471580313422192,3,https://thennt.com/nnt/corticosteroids-for-community-acquired-bacterial-pneumonia/
Medicine,NNT (TheNNT),2025,17.0,1.2304489213782739,2,2.0,rubric,Single qualitative therapeutic response (binary clinical endpoint).,8.5,0.9294189257142927,3,https://thennt.com/nnt/corticosteroids-for-community-acquired-bacterial-pneumonia/
Medicine,NNT (TheNNT),2024,16.0,1.2041199826559248,2,2.0,rubric,Single qualitative therapeutic response (binary clinical endpoint).,8.0,0.9030899869919435,3,https://thennt.com/nnt/cranberry-products-for-preventing-urinary-tract-infections/
Medicine,NNT (TheNNT),2024,8.0,0.9030899869919435,2,2.0,rubric,Single qualitative therapeutic response (binary clinical endpoint).,4.0,0.6020599913279624,3,https://thennt.com/nnt/cranberry-products-for-preventing-urinary-tract-infections/
Medicine,NNT (TheNNT),2024,9.0,0.9542425094393249,2,2.0,rubric,Single qualitative therapeutic response (binary clinical endpoint).,4.5,0.6532125137753437,3,https://thennt.com/nnt/cranberry-products-for-preventing-urinary-tract-infections/
Medicine,NNT (TheNNT),2019,219.0,2.3404441148401185,2,2.0,rubric,Single qualitative therapeutic response (binary clinical endpoint).,109.5,2.0394141191761372,3,https://thennt.com/nnt/low-dose-ct-scan-lung-cancer-screening/
Medicine,NNT (TheNNT),2019,19.0,1.2787536009528289,2,2.0,rubric,Single qualitative therapeutic response (binary clinical endpoint).,9.5,0.9777236052888477,3,https://thennt.com/nnt/low-dose-ct-scan-lung-cancer-screening/
Medicine,NNT (TheNNT),2019,78.0,1.8920946026904804,2,2.0,rubric,Single qualitative therapeutic response (binary clinical endpoint).,39.0,1.591064607026499,3,https://thennt.com/nnt/low-dose-ct-scan-lung-cancer-screening/
Medicine,NNT (TheNNT),2018,60.0,1.7781512503836436,2,2.0,rubric,Single qualitative therapeutic response (binary clinical endpoint).,30.0,1.4771212547196624,3,https://thennt.com/nnt/hpv-vaccines-prevention-cervical-pre-cancer-adolescent-girls-women/
Medicine,NNT (TheNNT),2015,5.0,0.6989700043360189,2,2.0,rubric,Single qualitative therapeutic response (binary clinical endpoint).,2.5,0.3979400086720376,3,https://thennt.com/nnt/psa-test-to-screen-for-prostate-cancer-2/
Medicine,NNT (TheNNT),2024,38.0,1.5797835966168101,2,2.0,rubric,Single qualitative therapeutic response (binary clinical endpoint).,19.0,1.2787536009528289,3,https://thennt.com/nnt/sglt-2-inhibitors-and-glp-1-receptor-agonists-for-type-2-diabetes/
Medicine,NNT (TheNNT),2024,100.0,2.0,2,2.0,rubric,Single qualitative therapeutic response (binary clinical endpoint).,50.0,1.6989700043360187,3,https://thennt.com/nnt/sglt-2-inhibitors-and-glp-1-receptor-agonists-for-type-2-diabetes/
Medicine,NNT (TheNNT),2024,71.0,1.8512583487190752,2,2.0,rubric,Single qualitative therapeutic response (binary clinical endpoint).,35.5,1.550228353055094,3,https://thennt.com/nnt/sglt-2-inhibitors-and-glp-1-receptor-agonists-for-type-2-diabetes/
Medicine,NNT (TheNNT),2024,143.0,2.155336037465062,2,2.0,rubric,Single qualitative therapeutic response (binary clinical endpoint).,71.5,1.8543060418010806,3,https://thennt.com/nnt/sglt-2-inhibitors-and-glp-1-receptor-agonists-for-type-2-diabetes/
Medicine,NNT (TheNNT),2024,40.0,1.6020599913279623,2,2.0,rubric,Single qualitative therapeutic response (binary clinical endpoint).,20.0,1.3010299956639813,3,https://thennt.com/nnt/sglt-2-inhibitors-and-glp-1-receptor-agonists-for-type-2-diabetes/
Medicine,NNT (TheNNT),2024,333.0,2.5224442335063197,2,2.0,rubric,Single qualitative therapeutic response (binary clinical endpoint).,166.5,2.2214142378423385,3,https://thennt.com/nnt/sglt-2-inhibitors-and-glp-1-receptor-agonists-for-type-2-diabetes/
Medicine,NNT (TheNNT),2024,59.0,1.7708520116421442,2,2.0,rubric,Single qualitative therapeutic response (binary clinical endpoint).,29.5,1.469822015978163,3,https://thennt.com/nnt/sglt-2-inhibitors-and-glp-1-receptor-agonists-for-type-2-diabetes/
Medicine,NNT (TheNNT),2024,125.0,2.0969100130080562,2,2.0,rubric,Single qualitative therapeutic response (binary clinical endpoint).,62.5,1.7958800173440752,3,https://thennt.com/nnt/sglt-2-inhibitors-and-glp-1-receptor-agonists-for-type-2-diabetes/
Medicine,NNT (TheNNT),2024,111.0,2.0453229787866576,2,2.0,rubric,Single qualitative therapeutic response (binary clinical endpoint).,55.5,1.7442929831226763,3,https://thennt.com/nnt/sglt-2-inhibitors-and-glp-1-receptor-agonists-for-type-2-diabetes/
Medicine,NNT (TheNNT),2024,250.0,2.3979400086720375,2,2.0,rubric,Single qualitative therapeutic response (binary clinical endpoint).,125.0,2.0969100130080562,3,https://thennt.com/nnt/sglt-2-inhibitors-and-glp-1-receptor-agonists-for-type-2-diabetes/
Medicine,NNT (TheNNT),2024,59.0,1.7708520116421442,2,2.0,rubric,Single qualitative therapeutic response (binary clinical endpoint).,29.5,1.469822015978163,3,https://thennt.com/nnt/sglt-2-inhibitors-and-glp-1-receptor-agonists-for-type-2-diabetes/
Medicine,NNT (TheNNT),2024,111.0,2.0453229787866576,2,2.0,rubric,Single qualitative therapeutic response (binary clinical endpoint).,55.5,1.7442929831226763,3,https://thennt.com/nnt/sglt-2-inhibitors-and-glp-1-receptor-agonists-for-type-2-diabetes/
Medicine,NNT (TheNNT),2024,40.0,1.6020599913279623,2,2.0,rubric,Single qualitative therapeutic response (binary clinical endpoint).,20.0,1.3010299956639813,3,https://thennt.com/nnt/sglt-2-inhibitors-and-glp-1-receptor-agonists-for-type-2-diabetes/
Medicine,NNT (TheNNT),2024,500.0,2.6989700043360187,2,2.0,rubric,Single qualitative therapeutic response (binary clinical endpoint).,250.0,2.3979400086720375,3,https://thennt.com/nnt/sglt-2-inhibitors-and-glp-1-receptor-agonists-for-type-2-diabetes/
Medicine,NNT (TheNNT),2024,7.0,0.8450980400142568,2,2.0,rubric,Single qualitative therapeutic response (binary clinical endpoint).,3.5,0.5440680443502757,3,https://thennt.com/nnt/sglt-2-inhibitors-and-glp-1-receptor-agonists-for-type-2-diabetes/
Medicine,NNT (TheNNT),2024,17.0,1.2304489213782739,2,2.0,rubric,Single qualitative therapeutic response (binary clinical endpoint).,8.5,0.9294189257142927,3,https://thennt.com/nnt/sglt-2-inhibitors-and-glp-1-receptor-agonists-for-type-2-diabetes/
Medicine,NNT (TheNNT),2024,6.0,0.7781512503836436,2,2.0,rubric,Single qualitative therapeutic response (binary clinical endpoint).,3.0,0.47712125471966244,3,https://thennt.com/nnt/metformin-for-type-2-diabetes-mellitus/
Medicine,NNT (TheNNT),2025,7.0,0.8450980400142568,2,2.0,rubric,Single qualitative therapeutic response (binary clinical endpoint).,3.5,0.5440680443502757,3,https://thennt.com/nnt/endovascular-therapy-for-acute-vertebrobasilar-occlusion-stroke/
Medicine,NNT (TheNNT),2025,7.0,0.8450980400142568,2,2.0,rubric,Single qualitative therapeutic response (binary clinical endpoint).,3.5,0.5440680443502757,3,https://thennt.com/nnt/endovascular-therapy-for-acute-vertebrobasilar-occlusion-stroke/
Medicine,NNT (TheNNT),2025,11.0,1.0413926851582251,2,2.0,rubric,Single qualitative therapeutic response (binary clinical endpoint).,5.5,0.7403626894942439,3,https://thennt.com/nnt/endovascular-therapy-for-acute-vertebrobasilar-occlusion-stroke/
Medicine,NNT (TheNNT),2025,20.0,1.3010299956639813,2,2.0,rubric,Single qualitative therapeutic response (binary clinical endpoint).,10.0,1.0,3,https://thennt.com/nnt/endovascular-therapy-for-acute-vertebrobasilar-occlusion-stroke/
Medicine,NNT (TheNNT),2019,5.0,0.6989700043360189,2,2.0,rubric,Single qualitative therapeutic response (binary clinical endpoint).,2.5,0.3979400086720376,3,https://thennt.com/nnt/early-endovascular-thrombectomy-large-vessel-ischemic-stroke-reduces-disability-90-days/
Medicine,FDA pivotal trials,1998,14.802153432032302,1.170324901585285,2,2.0,rubric,Single qualitative therapeutic response (binary clinical endpoint).,7.401076716016151,0.8692949059213039,4,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/492dbdb2-077e-4064-bff3-372d6af0a7a2.xml
Medicine,FDA pivotal trials,2001,2.502262443438914,0.39833285761958753,2,2.0,rubric,Single qualitative therapeutic response (binary clinical endpoint).,1.251131221719457,0.09730286195560636,4,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/211ef2da-2868-4a77-8055-1cb2cd78e24b.xml
Medicine,FDA pivotal trials,2013,1.0792079207920793,0.033105124157981086,2,2.0,rubric,Single qualitative therapeutic response (binary clinical endpoint).,0.5396039603960396,-0.2679248715060001,4,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/80beab2c-396e-4a37-a4dc-40fdb62859cf.xml
Medicine,FDA pivotal trials,2017,1.2115384615384617,0.0833372058187826,2,2.0,rubric,Single qualitative therapeutic response (binary clinical endpoint).,0.6057692307692308,-0.2176927898451986,4,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/aad3ba54-dfd3-4cb3-9e2b-c5ef89559189.xml
Medicine,FDA pivotal trials,2017,1.3835616438356164,0.14099851366218666,2,2.0,rubric,Single qualitative therapeutic response (binary clinical endpoint).,0.6917808219178082,-0.16003148200179454,4,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/9b70606e-b99c-4272-a0f1-b5523cce0c59.xml
Medicine,FDA pivotal trials,2018,1.6666666666666667,0.2218487496163564,2,2.0,rubric,Single qualitative therapeutic response (binary clinical endpoint).,0.8333333333333334,-0.0791812460476248,3,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/0c8ca614-58b2-4aa4-83d3-0387a8f782fd.xml
Medicine,Gene therapy/CAR-T,2017,1.2115384615384617,0.0833372058187826,2,2.0,rubric,Single qualitative therapeutic response (binary clinical endpoint).,0.6057692307692308,-0.2176927898451986,5,https://api.fda.gov/drug/label.json?search=openfda.brand_name:Kymriah&limit=1
Medicine,Gene therapy/CAR-T,2017,1.9423076923076923,0.2883180301478434,2,2.0,rubric,Single qualitative therapeutic response (binary clinical endpoint).,0.9711538461538461,-0.012711965516137784,5,https://api.fda.gov/drug/label.json?search=openfda.brand_name:Yescarta&limit=1
Medicine,Gene therapy/CAR-T,2019,1.105263157894737,0.043465693781090345,2,2.0,rubric,Single qualitative therapeutic response (binary clinical endpoint).,0.5526315789473685,-0.25756430188289087,5,https://api.fda.gov/drug/label.json?search=openfda.brand_name:Zolgensma&limit=1
Medicine,Gene therapy/CAR-T,2017,1.9090909090909092,0.2808266095756942,2,2.0,rubric,Single qualitative therapeutic response (binary clinical endpoint).,0.9545454545454546,-0.02020338608828695,5,https://api.fda.gov/drug/label.json?search=openfda.brand_name:Luxturna&limit=1
