page_slug,page_title,page_url,year,nnt_type,nnt_value,outcome_text,intervention,condition,comparator,therapeutic_area,time_horizon,notes
aspirin-to-prevent-a-first-heart-attack-or-stroke-2,Aspirin to Prevent a First Heart Attack or Stroke,https://thennt.com/nnt/aspirin-to-prevent-a-first-heart-attack-or-stroke-2/,2015,benefit,3000,1 in 3000 were helped (prevented non-fatal stroke),Aspirin,Primary prevention of first heart attack or stroke,Placebo or no aspirin,cardiovascular,,Comparator and follow-up duration require source review [VERIFY]
aspirin-to-prevent-a-first-heart-attack-or-stroke-2,Aspirin to Prevent a First Heart Attack or Stroke,https://thennt.com/nnt/aspirin-to-prevent-a-first-heart-attack-or-stroke-2/,2015,harm,3333,1 in 3333 were harmed (major bleeding event: required hospital admission and transfusion),Aspirin,Primary prevention of first heart attack or stroke,Placebo or no aspirin,cardiovascular,,Comparator and follow-up duration require source review [VERIFY]
warfarin-vs-aspirin-for-atrial-fibrillation-stroke-prevention,Warfarin vs. Aspirin For Atrial Fibrillation Stroke Prevention,https://thennt.com/nnt/warfarin-vs-aspirin-for-atrial-fibrillation-stroke-prevention/,2013,benefit,60,1 in 60 were helped (preventing stroke),Warfarin,Atrial fibrillation stroke prevention,Aspirin,cardiovascular,,Comparator explicit; confirm population characteristics [VERIFY]
warfarin-vs-aspirin-for-atrial-fibrillation-stroke-prevention,Warfarin vs. Aspirin For Atrial Fibrillation Stroke Prevention,https://thennt.com/nnt/warfarin-vs-aspirin-for-atrial-fibrillation-stroke-prevention/,2013,benefit,360,1 in 360 were helped (preventing systemic embolism),Warfarin,Atrial fibrillation stroke prevention,Aspirin,cardiovascular,,Comparator explicit; confirm population characteristics [VERIFY]
warfarin-vs-aspirin-for-atrial-fibrillation-stroke-prevention,Warfarin vs. Aspirin For Atrial Fibrillation Stroke Prevention,https://thennt.com/nnt/warfarin-vs-aspirin-for-atrial-fibrillation-stroke-prevention/,2013,harm,167,1 in 167 were harmed (fatal hemorrhage),Warfarin,Atrial fibrillation stroke prevention,Aspirin,cardiovascular,,Comparator explicit; confirm population characteristics [VERIFY]
warfarin-vs-aspirin-for-atrial-fibrillation-stroke-prevention,Warfarin vs. Aspirin For Atrial Fibrillation Stroke Prevention,https://thennt.com/nnt/warfarin-vs-aspirin-for-atrial-fibrillation-stroke-prevention/,2013,harm,25,1 in 25 were harmed (hemorrhage requiring hospitalization),Warfarin,Atrial fibrillation stroke prevention,Aspirin,cardiovascular,,Comparator explicit; confirm population characteristics [VERIFY]
paxlovid-for-nonhospitalized-patients-with-covid-19,Paxlovid for Nonhospitalized Patients with COVID-19,https://thennt.com/nnt/paxlovid-for-nonhospitalized-patients-with-covid-19/,2024,harm,5,1 in 5 were harmed (virologic rebound),Paxlovid (nirmatrelvir/ritonavir),Nonhospitalized COVID-19,Placebo or standard care,infectious disease,,Outcome timeframe and population risk require source review [VERIFY]
paxlovid-for-nonhospitalized-patients-with-covid-19,Paxlovid for Nonhospitalized Patients with COVID-19,https://thennt.com/nnt/paxlovid-for-nonhospitalized-patients-with-covid-19/,2024,harm,25,1 in 25 were harmed (experienced adverse events including dysgeusia),Paxlovid (nirmatrelvir/ritonavir),Nonhospitalized COVID-19,Placebo or standard care,infectious disease,,Outcome timeframe and population risk require source review [VERIFY]
corticosteroids-for-community-acquired-bacterial-pneumonia,Corticosteroids for Community-Acquired Bacterial Pneumonia,https://thennt.com/nnt/corticosteroids-for-community-acquired-bacterial-pneumonia/,2025,benefit,18,One in 18 was helped (death prevented in patients with severe CAP),Corticosteroids,Community-acquired bacterial pneumonia,Placebo or standard care,infectious disease,,Comparator and follow-up duration require source review [VERIFY]
corticosteroids-for-community-acquired-bacterial-pneumonia,Corticosteroids for Community-Acquired Bacterial Pneumonia,https://thennt.com/nnt/corticosteroids-for-community-acquired-bacterial-pneumonia/,2025,benefit,28,One in 28 was helped (invasive mechanical ventilation prevented),Corticosteroids,Community-acquired bacterial pneumonia,Placebo or standard care,infectious disease,,Comparator and follow-up duration require source review [VERIFY]
corticosteroids-for-community-acquired-bacterial-pneumonia,Corticosteroids for Community-Acquired Bacterial Pneumonia,https://thennt.com/nnt/corticosteroids-for-community-acquired-bacterial-pneumonia/,2025,benefit,56,One in 56 was helped (ICU admission prevented regardless of severity),Corticosteroids,Community-acquired bacterial pneumonia,Placebo or standard care,infectious disease,,Comparator and follow-up duration require source review [VERIFY]
corticosteroids-for-community-acquired-bacterial-pneumonia,Corticosteroids for Community-Acquired Bacterial Pneumonia,https://thennt.com/nnt/corticosteroids-for-community-acquired-bacterial-pneumonia/,2025,harm,17,One in 17 was harmed (experienced hyperglycemia),Corticosteroids,Community-acquired bacterial pneumonia,Placebo or standard care,infectious disease,,Comparator and follow-up duration require source review [VERIFY]
cranberry-products-for-preventing-urinary-tract-infections,Cranberry Products for Preventing Urinary Tract Infections,https://thennt.com/nnt/cranberry-products-for-preventing-urinary-tract-infections/,2024,benefit,16,1 in 16 women with recurrent UTIs were helped,Cranberry products,Prevention of urinary tract infections,Placebo or no cranberry,infectious disease,,Population and follow-up duration require source review [VERIFY]
cranberry-products-for-preventing-urinary-tract-infections,Cranberry Products for Preventing Urinary Tract Infections,https://thennt.com/nnt/cranberry-products-for-preventing-urinary-tract-infections/,2024,benefit,8,1 in 8 children were helped,Cranberry products,Prevention of urinary tract infections,Placebo or no cranberry,infectious disease,,Population and follow-up duration require source review [VERIFY]
cranberry-products-for-preventing-urinary-tract-infections,Cranberry Products for Preventing Urinary Tract Infections,https://thennt.com/nnt/cranberry-products-for-preventing-urinary-tract-infections/,2024,benefit,9,1 in 9 people with susceptibility to UTI due to a bladder intervention were helped,Cranberry products,Prevention of urinary tract infections,Placebo or no cranberry,infectious disease,,Population and follow-up duration require source review [VERIFY]
low-dose-ct-scan-lung-cancer-screening,Low-dose CT Scan for Lung Cancer Screening,https://thennt.com/nnt/low-dose-ct-scan-lung-cancer-screening/,2019,benefit,219,1 in 219 may have been helped (one death from any cause was prevented) compared to screening with chest x-ray,Low-dose CT screening,Lung cancer screening in at-risk adults,No screening or usual care,oncology,,Eligibility criteria and follow-up duration require source review [VERIFY]
low-dose-ct-scan-lung-cancer-screening,Low-dose CT Scan for Lung Cancer Screening,https://thennt.com/nnt/low-dose-ct-scan-lung-cancer-screening/,2019,harm,19,1 in 19 were harmed (incidental finding on CT scan),Low-dose CT screening,Lung cancer screening in at-risk adults,No screening or usual care,oncology,,Eligibility criteria and follow-up duration require source review [VERIFY]
low-dose-ct-scan-lung-cancer-screening,Low-dose CT Scan for Lung Cancer Screening,https://thennt.com/nnt/low-dose-ct-scan-lung-cancer-screening/,2019,harm,78,1 in 78 were harmed (false positive result on CT scan),Low-dose CT screening,Lung cancer screening in at-risk adults,No screening or usual care,oncology,,Eligibility criteria and follow-up duration require source review [VERIFY]
hpv-vaccines-prevention-cervical-pre-cancer-adolescent-girls-women,HPV vaccines for prevention of cervical pre-cancer in adolescent girls and women,https://thennt.com/nnt/hpv-vaccines-prevention-cervical-pre-cancer-adolescent-girls-women/,2018,benefit,60,NNT of 60 for preventing any cervical pre-cancer,HPV vaccination,Prevention of cervical pre-cancer,Placebo or no vaccine,oncology,,Population and follow-up duration require source review [VERIFY]
psa-test-to-screen-for-prostate-cancer-2,PSA Test to Screen for Prostate Cancer,https://thennt.com/nnt/psa-test-to-screen-for-prostate-cancer-2/,2015,harm,5,1 in 5 were harmed (undergoing a prostate biopsy for a false-positive test),PSA screening,Prostate cancer screening,No screening or usual care,oncology,,Outcome definitions and follow-up duration require source review [VERIFY]
sglt-2-inhibitors-and-glp-1-receptor-agonists-for-type-2-diabetes,SGLT-2 Inhibitors and GLP-1 Receptor Agonists for Type 2 Diabetes,https://thennt.com/nnt/sglt-2-inhibitors-and-glp-1-receptor-agonists-for-type-2-diabetes/,2024,benefit,38,1 in 38 high-risk people was helped (death prevented),SGLT-2 inhibitors and GLP-1 receptor agonists,Type 2 diabetes mellitus,Placebo or standard care,diabetes/metabolic,,Comparator and outcome timeframes require source review [VERIFY]
sglt-2-inhibitors-and-glp-1-receptor-agonists-for-type-2-diabetes,SGLT-2 Inhibitors and GLP-1 Receptor Agonists for Type 2 Diabetes,https://thennt.com/nnt/sglt-2-inhibitors-and-glp-1-receptor-agonists-for-type-2-diabetes/,2024,benefit,100,1 in 100 low-risk people was helped (death prevented),SGLT-2 inhibitors and GLP-1 receptor agonists,Type 2 diabetes mellitus,Placebo or standard care,diabetes/metabolic,,Comparator and outcome timeframes require source review [VERIFY]
sglt-2-inhibitors-and-glp-1-receptor-agonists-for-type-2-diabetes,SGLT-2 Inhibitors and GLP-1 Receptor Agonists for Type 2 Diabetes,https://thennt.com/nnt/sglt-2-inhibitors-and-glp-1-receptor-agonists-for-type-2-diabetes/,2024,benefit,71,1 in 71 high-risk people was helped (heart attack prevented),SGLT-2 inhibitors and GLP-1 receptor agonists,Type 2 diabetes mellitus,Placebo or standard care,diabetes/metabolic,,Comparator and outcome timeframes require source review [VERIFY]
sglt-2-inhibitors-and-glp-1-receptor-agonists-for-type-2-diabetes,SGLT-2 Inhibitors and GLP-1 Receptor Agonists for Type 2 Diabetes,https://thennt.com/nnt/sglt-2-inhibitors-and-glp-1-receptor-agonists-for-type-2-diabetes/,2024,benefit,143,1 in 143 low-risk people was helped (heart attack prevented),SGLT-2 inhibitors and GLP-1 receptor agonists,Type 2 diabetes mellitus,Placebo or standard care,diabetes/metabolic,,Comparator and outcome timeframes require source review [VERIFY]
sglt-2-inhibitors-and-glp-1-receptor-agonists-for-type-2-diabetes,SGLT-2 Inhibitors and GLP-1 Receptor Agonists for Type 2 Diabetes,https://thennt.com/nnt/sglt-2-inhibitors-and-glp-1-receptor-agonists-for-type-2-diabetes/,2024,benefit,40,1 in 40 high-risk people was helped (end-stage kidney disease prevented),SGLT-2 inhibitors and GLP-1 receptor agonists,Type 2 diabetes mellitus,Placebo or standard care,diabetes/metabolic,,Comparator and outcome timeframes require source review [VERIFY]
sglt-2-inhibitors-and-glp-1-receptor-agonists-for-type-2-diabetes,SGLT-2 Inhibitors and GLP-1 Receptor Agonists for Type 2 Diabetes,https://thennt.com/nnt/sglt-2-inhibitors-and-glp-1-receptor-agonists-for-type-2-diabetes/,2024,benefit,333,1 in 333 low-risk people was helped (end-stage kidney disease prevented),SGLT-2 inhibitors and GLP-1 receptor agonists,Type 2 diabetes mellitus,Placebo or standard care,diabetes/metabolic,,Comparator and outcome timeframes require source review [VERIFY]
sglt-2-inhibitors-and-glp-1-receptor-agonists-for-type-2-diabetes,SGLT-2 Inhibitors and GLP-1 Receptor Agonists for Type 2 Diabetes,https://thennt.com/nnt/sglt-2-inhibitors-and-glp-1-receptor-agonists-for-type-2-diabetes/,2024,benefit,59,"1 in 59 was helped (death prevented, high risk)",SGLT-2 inhibitors and GLP-1 receptor agonists,Type 2 diabetes mellitus,Placebo or standard care,diabetes/metabolic,,Comparator and outcome timeframes require source review [VERIFY]
sglt-2-inhibitors-and-glp-1-receptor-agonists-for-type-2-diabetes,SGLT-2 Inhibitors and GLP-1 Receptor Agonists for Type 2 Diabetes,https://thennt.com/nnt/sglt-2-inhibitors-and-glp-1-receptor-agonists-for-type-2-diabetes/,2024,benefit,125,"1 in 125 was helped (death prevented, low risk)",SGLT-2 inhibitors and GLP-1 receptor agonists,Type 2 diabetes mellitus,Placebo or standard care,diabetes/metabolic,,Comparator and outcome timeframes require source review [VERIFY]
sglt-2-inhibitors-and-glp-1-receptor-agonists-for-type-2-diabetes,SGLT-2 Inhibitors and GLP-1 Receptor Agonists for Type 2 Diabetes,https://thennt.com/nnt/sglt-2-inhibitors-and-glp-1-receptor-agonists-for-type-2-diabetes/,2024,benefit,111,"1 in 111 was helped (heart attack prevented, high risk)",SGLT-2 inhibitors and GLP-1 receptor agonists,Type 2 diabetes mellitus,Placebo or standard care,diabetes/metabolic,,Comparator and outcome timeframes require source review [VERIFY]
sglt-2-inhibitors-and-glp-1-receptor-agonists-for-type-2-diabetes,SGLT-2 Inhibitors and GLP-1 Receptor Agonists for Type 2 Diabetes,https://thennt.com/nnt/sglt-2-inhibitors-and-glp-1-receptor-agonists-for-type-2-diabetes/,2024,benefit,250,"1 in 250 was helped (heart attack prevented, low risk)",SGLT-2 inhibitors and GLP-1 receptor agonists,Type 2 diabetes mellitus,Placebo or standard care,diabetes/metabolic,,Comparator and outcome timeframes require source review [VERIFY]
sglt-2-inhibitors-and-glp-1-receptor-agonists-for-type-2-diabetes,SGLT-2 Inhibitors and GLP-1 Receptor Agonists for Type 2 Diabetes,https://thennt.com/nnt/sglt-2-inhibitors-and-glp-1-receptor-agonists-for-type-2-diabetes/,2024,benefit,59,"1 in 59 was helped (stroke prevented, high risk)",SGLT-2 inhibitors and GLP-1 receptor agonists,Type 2 diabetes mellitus,Placebo or standard care,diabetes/metabolic,,Comparator and outcome timeframes require source review [VERIFY]
sglt-2-inhibitors-and-glp-1-receptor-agonists-for-type-2-diabetes,SGLT-2 Inhibitors and GLP-1 Receptor Agonists for Type 2 Diabetes,https://thennt.com/nnt/sglt-2-inhibitors-and-glp-1-receptor-agonists-for-type-2-diabetes/,2024,benefit,111,"1 in 111 was helped (stroke prevented, low risk)",SGLT-2 inhibitors and GLP-1 receptor agonists,Type 2 diabetes mellitus,Placebo or standard care,diabetes/metabolic,,Comparator and outcome timeframes require source review [VERIFY]
sglt-2-inhibitors-and-glp-1-receptor-agonists-for-type-2-diabetes,SGLT-2 Inhibitors and GLP-1 Receptor Agonists for Type 2 Diabetes,https://thennt.com/nnt/sglt-2-inhibitors-and-glp-1-receptor-agonists-for-type-2-diabetes/,2024,benefit,40,"1 in 40 was helped (end stage kidney disease prevented, high risk)",SGLT-2 inhibitors and GLP-1 receptor agonists,Type 2 diabetes mellitus,Placebo or standard care,diabetes/metabolic,,Comparator and outcome timeframes require source review [VERIFY]
sglt-2-inhibitors-and-glp-1-receptor-agonists-for-type-2-diabetes,SGLT-2 Inhibitors and GLP-1 Receptor Agonists for Type 2 Diabetes,https://thennt.com/nnt/sglt-2-inhibitors-and-glp-1-receptor-agonists-for-type-2-diabetes/,2024,benefit,500,"1 in 500 was helped (end stage kidney disease prevented, low risk)",SGLT-2 inhibitors and GLP-1 receptor agonists,Type 2 diabetes mellitus,Placebo or standard care,diabetes/metabolic,,Comparator and outcome timeframes require source review [VERIFY]
sglt-2-inhibitors-and-glp-1-receptor-agonists-for-type-2-diabetes,SGLT-2 Inhibitors and GLP-1 Receptor Agonists for Type 2 Diabetes,https://thennt.com/nnt/sglt-2-inhibitors-and-glp-1-receptor-agonists-for-type-2-diabetes/,2024,harm,7,1 in 7 was harmed (experienced a genital infection),SGLT-2 inhibitors and GLP-1 receptor agonists,Type 2 diabetes mellitus,Placebo or standard care,diabetes/metabolic,,Comparator and outcome timeframes require source review [VERIFY]
sglt-2-inhibitors-and-glp-1-receptor-agonists-for-type-2-diabetes,SGLT-2 Inhibitors and GLP-1 Receptor Agonists for Type 2 Diabetes,https://thennt.com/nnt/sglt-2-inhibitors-and-glp-1-receptor-agonists-for-type-2-diabetes/,2024,harm,17,1 in 17 was harmed (experienced a severe gastrointestinal event),SGLT-2 inhibitors and GLP-1 receptor agonists,Type 2 diabetes mellitus,Placebo or standard care,diabetes/metabolic,,Comparator and outcome timeframes require source review [VERIFY]
metformin-for-type-2-diabetes-mellitus,Metformin for Type 2 Diabetes Mellitus,https://thennt.com/nnt/metformin-for-type-2-diabetes-mellitus/,2024,harm,6,"1 in 6 were harmed (gastrointestinal events-nausea, vomiting, diarrhea, abdominal discomfort)",Metformin,Type 2 diabetes mellitus,Placebo or standard care,diabetes/metabolic,,Comparator and outcome timeframes require source review [VERIFY]
endovascular-therapy-for-acute-vertebrobasilar-occlusion-stroke,Endovascular Therapy for Acute Vertebrobasilar Occlusion Stroke,https://thennt.com/nnt/endovascular-therapy-for-acute-vertebrobasilar-occlusion-stroke/,2025,benefit,7,One in seven were helped (higher chance of favorable functional outcome [mRS 0-3] at 90 days),Endovascular therapy,Acute vertebrobasilar occlusion stroke,Standard medical therapy,neurological,,Outcome time horizons noted in outcome text [VERIFY]
endovascular-therapy-for-acute-vertebrobasilar-occlusion-stroke,Endovascular Therapy for Acute Vertebrobasilar Occlusion Stroke,https://thennt.com/nnt/endovascular-therapy-for-acute-vertebrobasilar-occlusion-stroke/,2025,benefit,7,One in seven were helped (higher chance of functional independence [mRS 0-2] at 90 days),Endovascular therapy,Acute vertebrobasilar occlusion stroke,Standard medical therapy,neurological,,Outcome time horizons noted in outcome text [VERIFY]
endovascular-therapy-for-acute-vertebrobasilar-occlusion-stroke,Endovascular Therapy for Acute Vertebrobasilar Occlusion Stroke,https://thennt.com/nnt/endovascular-therapy-for-acute-vertebrobasilar-occlusion-stroke/,2025,benefit,11,One in 11 were helped (death [all-cause] prevented within 90 days),Endovascular therapy,Acute vertebrobasilar occlusion stroke,Standard medical therapy,neurological,,Outcome time horizons noted in outcome text [VERIFY]
endovascular-therapy-for-acute-vertebrobasilar-occlusion-stroke,Endovascular Therapy for Acute Vertebrobasilar Occlusion Stroke,https://thennt.com/nnt/endovascular-therapy-for-acute-vertebrobasilar-occlusion-stroke/,2025,harm,20,One in 20 were harmed (experienced symptomatic intracranial hemorrhage at 24-72 h),Endovascular therapy,Acute vertebrobasilar occlusion stroke,Standard medical therapy,neurological,,Outcome time horizons noted in outcome text [VERIFY]
early-endovascular-thrombectomy-large-vessel-ischemic-stroke-reduces-disability-90-days,Early Endovascular Thrombectomy for Large-vessel Ischemic Stroke Reduces Disability at 90 Days,https://thennt.com/nnt/early-endovascular-thrombectomy-large-vessel-ischemic-stroke-reduces-disability-90-days/,2019,benefit,5,1 in 5 were helped (achieved functional independence at 90 days),Early endovascular thrombectomy,Large-vessel ischemic stroke,Standard medical therapy,neurological,90 days,Outcome time horizon in title; confirm protocol details [VERIFY]
